student_id,activity_id,event_ts,assessment_type,event_type,score,max_score
STU-00001,ACT-000001,2025-01-07 04:30:00,project,started,,
STU-00001,ACT-000001,2025-01-07 05:07:00,project,completed,,
STU-00001,ACT-000001,2025-01-07 05:37:00,project,scored,4.3,5.0
STU-00001,ACT-000002,2025-01-06 19:50:00,quiz,started,,
STU-00002,ACT-000004,2025-01-06 22:42:00,project,started,,
STU-00002,ACT-000005,2025-01-14 04:02:00,quiz,started,,
STU-00002,ACT-000005,2025-01-14 04:46:00,quiz,completed,,
STU-00002,ACT-000005,2025-01-14 04:59:00,quiz,scored,9.7,10.0
STU-00002,ACT-000005,2025-01-14 07:27:00,project,started,,
STU-00002,ACT-000005,2025-01-14 07:36:00,project,completed,,
STU-00002,ACT-000005,2025-01-14 07:53:00,project,scored,3.7,5.0
STU-00003,ACT-000006,2025-01-07 06:36:00,quiz,started,,
STU-00003,ACT-000006,2025-01-07 07:02:00,quiz,completed,,
STU-00003,ACT-000006,2025-01-07 07:27:00,quiz,scored,6.8,10.0
STU-00003,ACT-000007,2025-01-13 19:30:00,quiz,started,,
STU-00003,ACT-000007,2025-01-13 19:59:00,quiz,completed,,
STU-00003,ACT-000007,2025-01-14 08:46:00,project,started,,
STU-00003,ACT-000007,2025-01-14 09:08:00,project,completed,,
STU-00003,ACT-000007,2025-01-14 09:34:00,project,scored,1.0,5.0
STU-00003,ACT-000008,2025-01-14 02:06:00,quiz,started,,
STU-00003,ACT-000008,2025-01-14 02:53:00,quiz,completed,,
STU-00003,ACT-000008,2025-01-14 02:56:00,quiz,scored,3.0,10.0
STU-00004,ACT-000009,2025-01-06 21:35:00,project,started,,
STU-00004,ACT-000009,2025-01-06 22:13:00,project,completed,,
STU-00004,ACT-000009,2025-01-06 22:28:00,project,scored,1.2,5.0
STU-00004,ACT-000009,2025-01-07 08:21:00,quiz,started,,
STU-00004,ACT-000009,2025-01-07 09:07:00,quiz,completed,,
STU-00004,ACT-000009,2025-01-07 09:37:00,quiz,scored,9.8,10.0
STU-00004,ACT-000010,2025-01-13 21:11:00,quiz,started,,
STU-00004,ACT-000010,2025-01-13 21:41:00,quiz,completed,,
STU-00004,ACT-000010,2025-01-13 22:05:00,quiz,scored,6.1,10.0
STU-00004,ACT-000010,2025-01-14 04:27:00,project,started,,
STU-00004,ACT-000010,2025-01-14 05:15:00,project,completed,,
STU-00004,ACT-000010,2025-01-14 05:24:00,project,scored,3.8,5.0
STU-00005,ACT-000011,2025-01-06 20:51:00,project,started,,
STU-00005,ACT-000012,2025-01-07 00:12:00,quiz,started,,
STU-00005,ACT-000012,2025-01-07 00:31:00,quiz,completed,,
STU-00005,ACT-000012,2025-01-07 00:47:00,quiz,scored,5.3,10.0
STU-00005,ACT-000013,2025-01-14 04:25:00,quiz,started,,
STU-00005,ACT-000013,2025-01-14 04:50:00,quiz,completed,,
STU-00005,ACT-000013,2025-01-14 05:05:00,quiz,scored,6.2,10.0
STU-00005,ACT-000014,2025-01-13 21:23:00,project,started,,
STU-00005,ACT-000014,2025-01-13 23:58:00,quiz,started,,
STU-00005,ACT-000014,2025-01-14 00:06:00,quiz,completed,,
STU-00005,ACT-000014,2025-01-14 00:17:00,quiz,scored,1.2,10.0
STU-00006,ACT-000015,2025-01-07 01:38:00,quiz,started,,
STU-00006,ACT-000015,2025-01-07 02:05:00,quiz,completed,,
STU-00006,ACT-000015,2025-01-07 02:21:00,quiz,scored,6.4,10.0
STU-00006,ACT-000016,2025-01-06 21:35:00,quiz,started,,
STU-00006,ACT-000016,2025-01-06 21:56:00,quiz,completed,,
STU-00006,ACT-000016,2025-01-06 22:07:00,quiz,scored,8.4,10.0
STU-00007,ACT-000018,2025-01-06 22:52:00,quiz,started,,
STU-00007,ACT-000018,2025-01-06 23:30:00,quiz,completed,,
STU-00007,ACT-000018,2025-01-06 23:46:00,quiz,scored,4.1,10.0
STU-00007,ACT-000019,2025-01-06 22:34:00,project,started,,
STU-00007,ACT-000019,2025-01-06 23:26:00,project,completed,,
STU-00007,ACT-000019,2025-01-06 23:50:00,project,scored,3.9,5.0
STU-00007,ACT-000019,2025-01-07 02:31:00,quiz,started,,
STU-00007,ACT-000019,2025-01-07 03:10:00,quiz,completed,,
STU-00007,ACT-000019,2025-01-07 03:35:00,quiz,scored,2.2,10.0
STU-00007,ACT-000020,2025-01-14 03:07:00,quiz,started,,
STU-00007,ACT-000020,2025-01-14 03:27:00,quiz,completed,,
STU-00007,ACT-000020,2025-01-14 03:54:00,quiz,scored,9.9,10.0
STU-00008,ACT-000022,2025-01-06 22:27:00,quiz,started,,
STU-00008,ACT-000022,2025-01-06 23:23:00,quiz,completed,,
STU-00008,ACT-000022,2025-01-06 23:31:00,quiz,scored,3.0,10.0
STU-00008,ACT-000023,2025-01-14 00:55:00,quiz,started,,
