student_id,activity_id,message_ts,direction,message_type,payload
STU001,ACT-001A,2026-02-16 08:00:00,outbound,video_link,"{""url"": ""https://learn.example.com/v/2210"", ""topic"": ""Math""}"
STU001,ACT-001A,2026-02-16 09:00:00,inbound,text,"{""text"": ""got it""}"
STU001,ACT-001B,2026-02-16 08:30:00,outbound,quiz_start,"{""quiz_id"": ""Q-805"", ""subject"": ""Math""}"
STU001,ACT-001B,2026-02-16 09:15:00,inbound,text,"{""text"": ""done""}"
STU002,ACT-002A,2026-02-16 10:00:00,outbound,video_link,"{""url"": ""https://learn.example.com/v/3341"", ""topic"": ""Biology""}"
STU002,ACT-002A,2026-02-16 11:00:00,inbound,text,"{""text"": ""watching now""}"
STU002,ACT-002B,2026-02-17 09:00:00,outbound,quiz_start,"{""quiz_id"": ""Q-612"", ""subject"": ""Biology""}"
STU003,ACT-003A,2026-02-17 08:00:00,outbound,video_link,"{""url"": ""https://learn.example.com/v/4450"", ""topic"": ""History""}"
STU003,ACT-003A,2026-02-17 10:00:00,inbound,text,"{""text"": ""interesting""}"
STU003,ACT-003B,2026-02-17 10:30:00,outbound,video_link,"{""url"": ""https://learn.example.com/v/4451"", ""topic"": ""History""}"
STU003,ACT-003B,2026-02-17 12:00:00,inbound,text,"{""text"": ""finished""}"
STU003,ACT-003C,2026-02-19 09:00:00,outbound,quiz_start,"{""quiz_id"": ""Q-290"", ""subject"": ""History""}"
STU003,ACT-003C,2026-02-19 11:00:00,inbound,text,"{""text"": ""submitted""}"
STU004,ACT-004A,2026-02-16 12:00:00,outbound,video_link,"{""url"": ""https://learn.example.com/v/5580"", ""topic"": ""Physics""}"
STU004,ACT-004A,2026-02-17 13:00:00,inbound,text,"{""text"": ""need help""}"
STU004,ACT-004B,2026-02-18 08:00:00,outbound,quiz_start,"{""quiz_id"": ""P-101"", ""subject"": ""Physics""}"
STU005,ACT-005A,2026-02-16 09:00:00,outbound,video_link,"{""url"": ""https://learn.example.com/v/6670"", ""topic"": ""Math""}"
STU005,ACT-005A,2026-02-16 11:00:00,inbound,text,"{""text"": ""ok""}"
STU005,ACT-005B,2026-02-16 10:15:00,outbound,quiz_start,"{""quiz_id"": ""Q-441"", ""subject"": ""Math""}"
STU005,ACT-005B,2026-02-16 11:30:00,inbound,text,"{""text"": ""submitted""}"
STU005,ACT-005C,2026-02-16 10:40:00,outbound,video_link,"{""url"": ""https://learn.example.com/v/6671"", ""topic"": ""Math""}"
STU005,ACT-005C,2026-02-16 12:00:00,inbound,text,"{""text"": ""finished all""}"
STU006,ACT-006A,2026-02-18 08:00:00,outbound,video_link,"{""url"": ""https://learn.example.com/v/7710"", ""topic"": ""English""}"
STU006,ACT-006A,2026-02-18 10:00:00,inbound,text,"{""text"": ""thanks""}"
STU006,ACT-006B,2026-02-18 10:30:00,outbound,quiz_start,"{""quiz_id"": ""Q-388"", ""subject"": ""English""}"
STU007,ACT-007A,2026-02-17 11:00:00,outbound,video_link,"{""url"": ""https://learn.example.com/v/8820"", ""topic"": ""Science""}"
STU007,ACT-007A,2026-02-17 13:00:00,inbound,text,"{""text"": ""done""}"
STU007,ACT-007B,2026-02-18 09:00:00,outbound,quiz_start,"{""quiz_id"": ""P-205"", ""subject"": ""Science""}"
STU008,ACT-008A,2026-02-16 13:00:00,outbound,video_link,"{""url"": ""https://learn.example.com/v/9930"", ""topic"": ""Chemistry""}"
STU008,ACT-008A,2026-02-17 12:00:00,inbound,text,"{""text"": ""completed video""}"
STU008,ACT-008B,2026-02-18 08:00:00,outbound,quiz_start,"{""quiz_id"": ""Q-557"", ""subject"": ""Chemistry""}"
